40:e3:d6:cd:73:66,40:e3:d6:cd:73:66,15
44:48:c1:c0:6c:30,44:48:c1:c0:6c:30,16
BKS-AP-1,BKS,10
BKS-AP-10,BKS,15
BKS-AP-11,BKS,8
BKS-AP-12,BKS,1
BKS-AP-13,BKS,3
BKS-AP-14,BKS,4
BKS-AP-15,BKS,14
BKS-AP-16,BKS,2
BKS-AP-17,BKS,36
BKS-AP-19,BKS,7
BKS-AP-2,BKS,14
BKS-AP-20,BKS,1
BKS-AP-3,BKS,34
BKS-AP-4,BKS,8
BKS-AP-5,BKS,6
BKS-AP-6,BKS,6
BKS-AP-7,BKS,71
BKS-AP-8,BKS,1
Event-ap-275-02,Event,247
Event-ap-275-03,Event,177
Event-ap-275-04,Event,121
Event-ap-275-05,Event,90
Event-ap-275-07,Event,80
McGwire-way-ap-01,McGwire-way,23
Outdoor-AP-LTS-tower-01,Outdoor,90
Outdoor-AP-LTS-west-01,Outdoor,59
Outdoor-IYH-patio-01,Outdoor-IYH-patio-01,46
Outdoor-her-plaza-1,Outdoor-her-plaza-1,57
TTL-ap-02,TTL,19
a8:bd:27:cb:24:74,a8:bd:27:cb:24:74,15
acb-ap-01,acb,1
acb-ap-03,acb,1
acb-ap-04,acb,7
acb-ap-07,acb,1
acb-ap-08,acb,2
acb-ap-09,acb,5
acb-ap-10,acb,6
acb-ap-11,acb,4
acb-ap-12,acb,5
acb-ap-13,acb,14
acb-ap-14,acb,17
acb-ap-17,acb,34
acb-ap-18,acb,28
acb-ap-20,acb,6
acb-ap-21,acb,11
acb-ap-22,acb,28
acb-ap-23,acb,3
acb-ap-24,acb,10
acb-ap-26,acb,8
acb-ap-27,acb,5
acb-ap-28,acb,7
acb-ap-29,acb,6
acb-ap-30,acb,5
acb-front-ap-1,acb-front,34
acc-ap-03,acc,1
acc-ap-04,acc,1
acc-ap-06,acc,1
acc-ap-07,acc,2
acc-ap-12,acc,5
acc-ap-14,acc,1
acc-ap-22,acc,2
acc-ap-24,acc,1
acc-ap-26,acc,6
acc-ap-29,acc,1
acc-ap-30,acc,2
acc-ap-32,acc,3
acc-ap-37,acc,4
acx-ap-01,acx,8
adm-ap-1,adm,1
adm-ap-10,adm,1
adm-ap-14,adm,2
adm-ap-15,adm,1
adm-ap-18,adm,2
adm-ap-2,adm,7
adm-ap-20,adm,3
adm-ap-21,adm,1
adm-ap-22,adm,8
adm-ap-23,adm,17
adm-ap-24,adm,8
adm-ap-25,adm,2
adm-ap-3,adm,4
adm-ap-30,adm,2
